id,name,wilayah,kecamatan,kelurahan,jenis_tps,latitude,longitude,alamat
1168,TPS JL. MENARA (Transit),Jakarta Timur,Pasar Rebo,KALISARI,TIPE 4,-6.334476,106.853114,-
1128,Tps rw 04,Jakarta Timur,Makasar,PINANGRANTI,TIPE 3,-6.27735,106.883305,pengangkutan 2 hari sekali
672,Swadaya,Jakarta Timur,Cipayung,Tidak Diketahui,TIPE 4,-6.299337,106.90216, 
1250,Pasar Paguyuban RW 02,Jakarta Barat,Cengkareng,CENGKARENG BARAT,TIPE 4,-6.154197,106.729484, 
65,TPS RW 007 KGT,Jakarta Utara,Kelapa Gading,KELAPA GADING TIMUR,TIPE 4,-6.17148,106.90918, 
797,Tps 09 (Transit),Jakarta Timur,Pulogadung,PULOGADUNG,TIPE 4,-6.179287,106.902435,Setiap hari
461,Perbak asrama polri rw 09,Jakarta Pusat,Gambir,CIDENG,TIPE 4,-6.179356,106.812698,"Truck typer kecil untuk pengangkutan seminggu sekali setiap hari selasa, kebanyakan warga membuang sampah sendiri ke tps 09 cideng."
440,TPS rw 07 kwitang (Transit),Jakarta Pusat,Senen,KWITANG,TIPE 4,-6.181369,106.840059, 
848,Full gerobak RW 01(Transit),Jakarta Barat,Grogol Petamburan,JELAMBAR,TIPE 4,-6.15873071285,106.78338,Warga Rw 01.aktifitasnya pagi hari jam 08.00-11.00 angkut senin rabu jumat
618,Bak chiken,Jakarta Timur,Cakung,RAWATERATE,TIPE 4,-6.191905,106.922828, 
98,TPS RW 20,Jakarta Utara,Tanjung Priok,Tidak Diketahui,TIPE 2,-6.13570101247,106.851886226, 
1182,Jl. Kopi,Jakarta Timur,Pasar Rebo,PEKAYON,TIPE 4,-6.348615,106.860928,Seminggu 2 kali
1321,Zikon 14,Jakarta Selatan,Jagakarsa,SRENGSENG SAWAH,TIPE 3,-6.344103,106.826396,Pengangkutan di lakukan seminggu 1x
1122,TPS RW 01 Halim,Jakarta Timur,Makasar,HALIM PERDANA KUSUMA,TIPE 2,-6.288966,106.89576,Truk datang sebulan 1x
154,PASAR TRADISIONAL,Jakarta Utara,Kelapa Gading,Tidak Diketahui,TIPE 3,-6.143917,106.911459,PASAR
1228,TPS Pasar Kombongan,Jakarta Pusat,Kemayoran,GUNUNG SAHARI SELATAN,TIPE 3,-6.161484508,106.841171311,pengangkutan 3 hari sekali
476,Pasar Petojo Enclek,Jakarta Pusat,Gambir,PETOJO SELATAN,TIPE 2,-6.170584,106.817069,angkut setiap hari minggu libur
571,Pasar Nangka,Jakarta Pusat,Kemayoran,UTAN PANJANG,TIPE 4,-6.167739,106.849409,"di pasar nangka tidak ada fasilitas, hanya ada tempat penampungan sementar untuk diangkat ke kontainer  arm roll kecil. di angkut 3x dalam seminggu (pengangkutan 3 hari sekali)"
34,Pool Contaener PD pasar Rumput,Jakarta Selatan,Setiabudi,Tidak Diketahui,TIPE 2,-6.208031,106.839719,Seminggu 4 x
566,Pasar gandaria,Jakarta Pusat,Tanah Abang,KAMPUNG BALI,TIPE 4,-6.188170454,106.818524614,angkut 2x seminggu
370,TPS PD. Pasar Pesanggrahan,Jakarta Selatan,Pesanggrahan,PESANGGRAHAN,TIPE 3,-6.252104564,106.755889064,0
795,Pasar taruna/Pasar Palad RW 3,Jakarta Timur,Pulogadung,Tidak Diketahui,TIPE 4,-6.186815,106.902601,Setiap hari
122,Pasar jongkok,Jakarta Utara,Pademangan,PADEMANGAN BARAT,TIPE 4,-6.141229,106.838836, 
950,Countainer pasar gili,Jakarta Barat,Pal Merah,KEMANGGISAN,TIPE 3,-6.182085,106.809764,Roli Bulak Balik tidak terhitung ritasinya (70 Rit Seminggu)
544,Armada RI 1,Jakarta Pusat,Kemayoran,KEMAYORAN,TIPE 2,-6.165171,106.841317,Truk datang seminggu 2 kali ( Senin dan Rabu ) (Kelurahan Gunung Sahari Selatan) 8 dustbin milik pribadi AL Armada R1 (2 hari sekali)
800,Bak beton beacukai,Jakarta Timur,Pulogadung,PISANGAN TIMUR,TIPE 3,-6.206968,106.876492,1 minggu 1x
1183,Balai Diklat Industri Jakarta,Jakarta Timur,Pasar Rebo,PEKAYON,TIPE 3,-6.345942,106.85921,Sebulan 2 kali
686,BPOM,Jakarta Timur,Cipayung,CILANGKAP,TIPE 3,-6.33378,106.90288,pengangkutan sampah sebulan sekali
321,Codefin,Jakarta Selatan,Mampang Prapatan,Tidak Diketahui,TIPE 2,-6.256718,106.813307,Seminggu 7x
630,Corong Rusun km2,Jakarta Timur,Cakung,CAKUNG BARAT,TIPE 4,-6.18523,106.935099, 
488,Dinas Teknis,Jakarta Pusat,Gambir,CIDENG,TIPE 4,-6.179282229,106.810935562,angkut seminggu 2 kali
1195,GAMYA,Jakarta Timur,Pasar Rebo,GEDONG,TIPE 2,-6.302388,106.856508,Pengangkutan 30 Hari Sekali
309,Gedung LIPI,Jakarta Selatan,Mampang Prapatan,Tidak Diketahui,TIPE 3,-6.227971,106.817736,Seminggu 3x
1162,Gereja HKBP,Jakarta Timur,Pasar Rebo,Tidak Diketahui,TIPE 3,-6.322671,106.861711,Kegiatan dilakukan seminggu 2x dan di Area Gereja
132,GRJU,Jakarta Utara,Tanjung Priok,RAWA BADAK UTARA,TIPE 2,-6.118269,106.891932,Seminggu 3 kali
1095,Hotel 678,Jakarta Timur,Makasar,Tidak Diketahui,TIPE 3,-6.245755908,106.879333594,Truk datang dalam 1 bulan 2x tidak setiap hari
1099,Hotel Transit Pondok Tirta Sentosa,Jakarta Timur,Makasar,KEBON PALA,TIPE 4,-6.250313325,106.880829387,Truk datang sebulan 2x tidak setiap hari
1126,Jasa marga,Jakarta Timur,Makasar,Tidak Diketahui,TIPE 4,-6.296127,106.882223,Pengangkutan tidak tentu
1094,Kantor BKKBN,Jakarta Timur,Makasar,Tidak Diketahui,TIPE 4,-6.253872235,106.880801715,Truk datang 1 bulan sekali.
1194,Kantor Camat,Jakarta Timur,Pasar Rebo,PEKAYON,TIPE 3,-6.340183,106.8696038,Seminggu 2 kali
1200,Kantor Kemendes,Jakarta Timur,Pasar Rebo,PEKAYON,TIPE 2,-6.343405251,106.858240888,Seminggu 1 kali
1134,Kantor PAB,Jakarta Timur,Jatinegara,Tidak Diketahui,TIPE 2,-6.228813954,106.876670714,Sampah di angkut 1 bulan sekali
507,Kemenkominfo,Jakarta Pusat,Gambir,PETOJO SELATAN,TIPE 2,-6.175229,106.821083,Jadwal pengangkutan sampah 1 kali dalam 1 minggu
467,Kementerian perdagangan,Jakarta Pusat,Gambir,GAMBIR,TIPE 3,-6.181168486,106.833309799,pengangkutan biasa setiap 2 hari sekali
1096,kementerian pertahanan,Jakarta Timur,Makasar,Tidak Diketahui,TIPE 4,-6.242729,106.878591,Truk datang 2x dalam 1 bulan tidak setiap hari
129,Kolinlamil,Jakarta Utara,Koja,Tidak Diketahui,TIPE 2,-6.106782833,106.892532506,Seminggu 3x pengangkutan
513,Lemhanas,Jakarta Pusat,Gambir,Tidak Diketahui,TIPE 3,-6.182778,106.82819,pengangkutan setiap hari
693,Mabes AL,Jakarta Timur,Cipayung,Tidak Diketahui,TIPE 2,-6.328643,106.907978,truk datang setiap hari kecuali minggu. Ukuran sampah di atas bukan dustbin tp tong sulo (6)
1192,Mess dkm,Jakarta Timur,Pasar Rebo,PEKAYON,TIPE 4,-6.348925,106.861755,Seminggu 1 kali
291,Mirasari,Jakarta Selatan,Mampang Prapatan,Tidak Diketahui,TIPE 2,-6.257001,106.820825,Seminggu 3 x
1163,MTS 33,Jakarta Timur,Pasar Rebo,Tidak Diketahui,TIPE 2,-6.31823903,106.85815884,Pengangkutan dilakukan 2 minggu sekali  dan Berada diarea sekolah
1112,Padepokan pencak silat,Jakarta Timur,Makasar,Tidak Diketahui,TIPE 3,-6.295263,106.884129,pengangkutan tidak nentu (by call)
692,Panti PSAA,Jakarta Timur,Cipayung,Tidak Diketahui,TIPE 4,-6.31798,106.89403,seminggu 2x
694,Panti sosial bina insani,Jakarta Timur,Cipayung,Tidak Diketahui,TIPE 4,-6.319401,106.891841,seminggu 1x
1199,Parkiran Obor K5,Jakarta Timur,Pasar Rebo,GEDONG,TIPE 2,-6.309139,106.863181,"Pengangkutan Setiap Hari Kecuali Sabtu / Minggu (Bergantung sudah penuh atau belum sampahnya), germor 2-3"
25,Perguruan cikini,Jakarta Selatan,Pancoran,Tidak Diketahui,TIPE 3,-6.252415,106.834124, 
658,Perumahan Jatinegara Baru Door to Door,Jakarta Timur,Cakung,Tidak Diketahui,TIPE 4,-6.213616,106.92569,Kegiatan pengangkutan 3 kali dalam seminggu
1139,Pewayangan kautaman,Jakarta Timur,Makasar,Tidak Diketahui,TIPE 3,-6.29714,106.886884,Tidak tentu
1203,Plaza PP,Jakarta Timur,Pasar Rebo,GEDONG,TIPE 2,-6.303949,106.856907,Pengangkutan 2 Hari Sekali
27,Puspa Catering,Jakarta Selatan,Pancoran,Tidak Diketahui,TIPE 3,-6.249366,106.846426, 
1140,Rm karimata,Jakarta Timur,Makasar,Tidak Diketahui,TIPE 3,-6.291744,106.881579,"Kendaraan yg dipakai lintas panther, setiap hari"
1179,RS. Kesdam,Jakarta Timur,Pasar Rebo,GEDONG,TIPE 4,-6.30819,106.859168,"Sampah Berasalah dari RS.Kesdam, Pengangkutan sampah dilaksanakan setiap Hari Rabu - Seminggu Sekali."
553,RSTA Rw 11,Jakarta Pusat,Tanah Abang,KEBON KACANG,TIPE 3,-6.192019,106.818724, 
151,Ruko laktamal,Jakarta Utara,Pademangan,PADEMANGAN BARAT,TIPE 2,-6.14026,106.835712,komplek lantamal
616,Rusun Albo,Jakarta Timur,Cakung,CAKUNG BARAT,TIPE 4,-6.167799,106.932288, 
1211,Rusun Blok Tower A,Jakarta Timur,Cakung,UJUNG MENTENG,TIPE 2,-6.196494,106.968874,Pengangkutan 3 kali seminggu
574,Rusun Karteng lama,Jakarta Pusat,Tanah Abang,KARET TENGSIN,TIPE 4,-6.205198617,106.811165827,berat kapasitas 400kg
260,rusun marunda,Jakarta Utara,Cilincing,MARUNDA,TIPE 4,-6.096317,106.964207, 
548,Rusun Petamburan,Jakarta Pusat,Tanah Abang,PETAMBURAN,TIPE 4,-6.197672443,106.808211828, 
646,rusun pulo jahe 2,Jakarta Timur,Cakung,Tidak Diketahui,TIPE 4,-6.1991476,106.9253465,pengangkutan sampah 1x dalam seminggu
626,Rusun tower 3,Jakarta Timur,Cakung,CAKUNG TIMUR,TIPE 2,-6.169653,106.931968, 
655,Rusun Tower Blok B,Jakarta Timur,Cakung,PENGGILINGAN,TIPE 3,-6.192789,106.933968,Pengangkutan 3 kali seminggu
656,Rusun Tower Blok C,Jakarta Timur,Cakung,PENGGILINGAN,TIPE 3,-6.203141,106.939872,Pengangkutan 3 kali dalam seminggu
648,Rusun Tower Blok E,Jakarta Timur,Cakung,Tidak Diketahui,TIPE 2,-6.196213,106.93409,Pengangkutan tidak setiap hari kadang 3 kali seminggu
1210,Rusun Tower D,Jakarta Timur,Cakung,UJUNG MENTENG,TIPE 3,-6.196494,106.968874,Pengangkutan setiap hari
657,Rusun Ujung Menteng,Jakarta Timur,Cakung,UJUNG MENTENG,TIPE 3,-6.186479,106.970741, 
1204,SDN 03,Jakarta Timur,Pasar Rebo,GEDONG,TIPE 4,-6.295643,106.855638,Pengangkutan setiap hari senin
508,Sekretariat Negara,Jakarta Pusat,Gambir,Tidak Diketahui,TIPE 2,-6.16949222,106.821646485,pengangkutan setiap hari
1171,SMA 98,Jakarta Timur,Pasar Rebo,Tidak Diketahui,TIPE 2,-6.332887,106.857666,Pengangkutan seminggu 1x
462,Stasiun Gambir,Jakarta Pusat,Gambir,GAMBIR,TIPE 3,-6.174689,106.830189,pengangkutan setiap hari minggu libur tergantung situasi
1177,Samping Pom Bensin,Jakarta Timur,Kramatjati,TENGAH,TIPE 2,-6.297423,106.870223,"Pengangkutan Sampah 3 Hari Sekali, tergantung swadaya juga bisa 2x sehari"
5718,Door to Door_DUREN SAWIT,Jakarta Timur,Duren Sawit,DUREN SAWIT,Door to Door,-6.23294220598,106.92202801, 
218,Tps lintas Rw 05,Jakarta Utara,Cilincing,CILINCING,TIPE 4,-6.13439,106.921468,rata-rata harian 6m3
906,TPS RW 03 Green Garden,Jakarta Barat,Kebon Jeruk,KEDOYA UTARA,TIPE 1,-6.164963,106.756985,Truk Gantian
150,Rw02,Jakarta Utara,Pademangan,PADEMANGAN BARAT,TIPE 2,-6.14026,106.835712,sebagian sampah masuk menggunakan getobak warga
459,TPS cut mutia,Jakarta Pusat,Menteng,CIKINI,TIPE 4,-6.186708,106.835328,truk datang setiap malam
1318,TPS JL.agung raya,Jakarta Selatan,Jagakarsa,BARU,TIPE 4,-6.326214,106.84031,Operional Kegiatan Pelayanan Pengangkutan Sampah Warga dilakukan seminggu 2x
721,GOR Otista,Jakarta Timur,Jatinegara,BIDARACINA,TIPE 2,-6.23588832206,106.868347438,"pengangkutan setiap hari, minggu libur"
381,TPS Deplu RW. 003,Jakarta Selatan,Pesanggrahan,BINTARO,TIPE 4,-6.27455459,106.7672713,0
423,Lps Kampung Kandang,Jakarta Selatan,Jagakarsa,JAGAKARSA,TIPE 4,-6.321697,106.809623,rata-rata sampah itu mobil pick up sama germor swadaya yang ngebuat tinggi
392,TPS RW. 003 Ulujami,Jakarta Selatan,Pesanggrahan,ULUJAMI,TIPE 4,-6.23229791581,106.761274647,0
429,TPS Kramat Sentiong,Jakarta Pusat,Senen,Tidak Diketahui,TIPE 3,-6.186959,106.849313, 
443,TPS 3R RAWASARI,Jakarta Pusat,Cempaka Putih,CEMPAKA PUTIH TIMUR,TIPE 3R,-6.184775,106.87368,pengangkutan sampah menggunakan gerobak warga
1355,TPS Rw. 13 Danau Radjiman,Jakarta Timur,Cakung,Tidak Diketahui,TIPE 4,-6.2109817,106.9229263, 
759,DIPO Utan Kayu Selatan,Jakarta Timur,Matraman,UTAN KAYU SELATAN,TIPE 1,-6.198483,106.868736, 
772,Dipo Pisangan Baru,Jakarta Timur,Matraman,PISANGAN BARU,TIPE 1,-6.211106,106.87292, 
782,Dipo Indor,Jakarta Timur,Pulogadung,KAYU PUTIH,TIPE 3R,-6.172228,106.880114, 
6178,Lintas_CIPULIR,Jakarta Selatan,Kebayoran Lama,CIPULIR,Lintas,-6.23807363691,106.770131387, 
362,TPS Poncol,Jakarta Selatan,Pasar Minggu,PEJATEN BARAT,TIPE 4,-6.298236,106.820649,Pengangkutan 6x seminggu
228,Lintas Tanggul Kalibaru,Jakarta Utara,Cilincing,Tidak Diketahui,TIPE 1,-6.10465154,106.91883862,Seminggu 19
1152,Tps Pendidikan,Jakarta Timur,Pasar Rebo,CIJANTUNG,TIPE 1,-6.317039,106.863613,Kendaraan Truk yang belum giat  dioperasikan back up lokasi tps lain
893,TPS RW 8 (sif 1),Jakarta Barat,Kebon Jeruk,KEBON JERUK,TIPE 3R,-6.190291,106.772595, 
344,TPS 3R Joe,Jakarta Selatan,Jagakarsa,Tidak Diketahui,TIPE 3R,-6.338582,106.835114,Operasional Pengangkutan Sampah di Hari Senin s.d Minggu . Senin s.d Jum'at : 5 Unit Sabtu : 4 Unit Minggu : 1 unit.
287,Dipo pondok pinang,Jakarta Selatan,Kebayoran Lama,PONDOK PINANG,TIPE 1,-6.262438,106.776314,1
715,BKT,Jakarta Timur,Jatinegara,CIPINANG BESAR SELATAN,TIPE 1,-6.2278337376,106.882945009,pengangkutan setiap hari
19,Dipo DPR Rawajati,Jakarta Selatan,Pancoran,RAWAJATI,TIPE 1,-6.251723,106.856516,"gerobak manual 25, germor 45 ppsu 12, hilux ppsu 6, panther pertamanan 1, retribusi pather 2, lh panther 3 traga 2 germor 1"
57,Dipo Sampah Ramah Lingkungan Rawa Badak Utara,Jakarta Utara,Koja,RAWA BADAK UTARA,TIPE 3R,-6.118307,106.896612,Kegiatan pengangkutan dilakukan setiap hari
724,TPS Dipo PLN Cililitan,Jakarta Timur,Kramatjati,CILILITAN,TIPE 3R,-6.25977,106.868632,pengangkutan setiap hari
272,Dipo tebet barat,Jakarta Selatan,Tebet,TEBET BARAT,TIPE 1,-6.233763,106.850607, 
295,Dipo Dharma Jaya,Jakarta Selatan,Mampang Prapatan,BANGKA,TIPE 2,-6.255755,106.824642,Seminggu 7 x
47,Dipo Kali gendong,Jakarta Utara,Penjaringan,PENJARINGAN,TIPE 1,-6.1241246,106.8024496,sebagian sampah masuk menggunakan germor/gerobak warga
45,TPS 3R Sunter Jaya,Jakarta Utara,Tanjung Priok,SUNTER AGUNG,TIPE 3R,-6.149013,106.859466, 
577,TPS PIK I,Jakarta Timur,Cakung,PENGGILINGAN,TIPE 1,-6.2054069,106.9280702, 
77,Waduk cincin,Jakarta Utara,Tanjung Priok,PAPANGGO,TIPE 3,-6.12525142535,106.872400486,Tidak tiap hari6
347,TPS Juanda,Jakarta Selatan,Cilandak,Tidak Diketahui,TIPE 4,-6.29073747667,106.767697779,Fasilitas ada mobil swadaya 17 mobil
873,TPS 05 kamal,Jakarta Barat,Kalideres,Tidak Diketahui,TIPE 4,-6.097578,106.703586,sebagian sampah masuk menggunakan germor/getobak warga
685,Yankes RW 01,Jakarta Timur,Cipayung,MUNJUL,TIPE 4,-6.354362,106.893062,truck datang setiap hari
18,DIPO MENTAS,Jakarta Selatan,Setiabudi,MENTENG ATAS,TIPE 1,-6.22074685294,106.838256164,"3 Pickup swadaya,DLH 5 Pickup,PPSU 8 Pickup,19 Germor, 2 Pickup Dinas pertamanan,"
927,TPS 3R MERUYA SELATAN,Jakarta Barat,Kembangan,Tidak Diketahui,TIPE 3R,-6.208516,106.739199,"3 Mobil Panther, yang aktif 2 1 nya standby"
783,Kolong Fly Over,Jakarta Timur,Pulogadung,Tidak Diketahui,TIPE 2,-6.213596,106.888415, 
530,Johar baru,Jakarta Pusat,Johar Baru,JOHAR BARU,TIPE 1,-6.181978,106.856308, 
349,TPS Jl. Bango,Jakarta Selatan,Cilandak,Tidak Diketahui,TIPE 4,-6.30356986999,106.803369103,"TPS berada di bahu jalan dan di kolong jalan tol depok antasari. PPSU 3 Hylux, Gerobak RW 63."
882,Pool Motor Sampah,Jakarta Barat,Kalideres,DURI KOSAMBI,TIPE 4,-6.173881,106.710217,Senin sampai  Sabtu
1013,Tps rw.6 bkt,Jakarta Timur,Duren Sawit,PONDOK BAMBU,TIPE 4,-6.230673,106.908416,pengangkutan setiap hari
914,Pinggir kali Pesanggrahan,Jakarta Barat,Kebon Jeruk,KELAPA DUA,TIPE 1,-6.215359,106.764306, 
398,TPS Kober,Jakarta Selatan,Pasar Minggu,KEBAGUSAN,TIPE 4,-6.3006,106.8278,Pengangkutan 6x seminggu
130,Jln bugis (Transit),Jakarta Utara,Tanjung Priok,Tidak Diketahui,TIPE 4,-6.115724,106.885549, 
1072,Transit Aderai,Jakarta Timur,Ciracas,CIBUBUR,TIPE 4,-6.363381,106.88755,setiap hari
442,TPS Ramah Lingkungan Dakota,Jakarta Pusat,Kemayoran,KEBON KOSONG,TIPE 3R,-6.153918,106.859653,Kapasitas Pelayanan
814,TPS RW10 duri Kosambi Cengkareng,Jakarta Barat,Cengkareng,DURI KOSAMBI,TIPE 1,-6.167494,106.715643, 
416,TPS Kramat Pela,Jakarta Selatan,Kebayoran Baru,KRAMAT PELA,TIPE 1,-6.24979132,106.7953353, 
934,TPS RW. 07 (Transit),Jakarta Barat,Kembangan,Tidak Diketahui,TIPE 4,-6.20355378368,106.761085604,"Truck datang dua hari sekali, seminggu tiga kali angkut"
279,TPS 63,Jakarta Selatan,Pesanggrahan,PETUKANGAN UTARA,TIPE 4,-6.229194,106.748761,0
1016,LPS Buaran,Jakarta Timur,Duren Sawit,MALAKA SARI,TIPE 3,-6.220411,106.924366,"pengangkutan setiap hari, seminggu sekali libur"
412,TPS Gandaria Utara,Jakarta Selatan,Kebayoran Baru,GANDARIA UTARA,TIPE 1,-6.25823886,106.7906051,"1 rit/Truck setiap hari, Kecuali hari Minggu, hanya 1 Truck Pengangkut 1 rit."
346,TPS Antasari (Transit),Jakarta Selatan,Cilandak,Tidak Diketahui,TIPE 4,-6.28581776892,106.80728062,"Tipe gerobak kayu ada 6, gerobak motor 5. Kecuali hari sabtu, libur."
1088,Tps Rw 012 (Pool Gerobak),Jakarta Timur,Makasar,KEBON PALA,TIPE 4,-6.25504449425,106.876381354,"pengangkutan setiap hari, minggu libur"
394,Dipo Rw.08,Jakarta Selatan,Jagakarsa,LENTENG AGUNG,TIPE 4,-6.334635,106.835663,Pengangkutan sampah dilakukan seminggu 6x
39,Pool Container Pasar Karbela,Jakarta Selatan,Setiabudi,Tidak Diketahui,TIPE 2,-6.213643,106.825622,Setiap hari diangkut truk kecuali hari minggu
35,Pool contaener PD pasar jaya pasar manggis,Jakarta Selatan,Setiabudi,Tidak Diketahui,TIPE 2,-6.208396,106.837235,Seminggu 1X
804,Pasar Ampera,Jakarta Timur,Pulogadung,PULOGADUNG,TIPE 2,-6.186423,106.884286, 
353,TPS Pasar Pondok Labu,Jakarta Selatan,Cilandak,Tidak Diketahui,TIPE 3,-6.312504175,106.793877005,"Berada di dalam pasar, bukan dustbin tapi kontainer."
351,TPS Pasar Mede,Jakarta Selatan,Cilandak,Tidak Diketahui,TIPE 3,-6.286962271,106.79543286,Lokasi berada di depan dekat pasar Mede Jaya. Bukan dustbin tapi kontainer yang digunakan.
354,TPS Pasar Cipete Selatan,Jakarta Selatan,Cilandak,Tidak Diketahui,TIPE 3,-6.278353799,106.808382095,Bukan dustbim tapi kontainer oranye. Lokasi TPS berada di dalam pasar.
292,Pasar Mampang,Jakarta Selatan,Mampang Prapatan,BANGKA,TIPE 3,-6.255273,106.824875,Seminggu 7x
296,Pasar buncit,Jakarta Selatan,Mampang Prapatan,BANGKA,TIPE 4,-6.254776,106.824183,Seminggu 7x
840,Pool Gerobak Rw.08,Jakarta Barat,Grogol Petamburan,TOMANG,TIPE 4,-6.17144572546,106.792376381,"Truk datang seminggu 3x kelokasi RW.08,berat sampah gerobak,dustbin,motor sampah hitungannya estimasi (selasa kamis sabtu)"
984,Poll grobak rw 04,Jakarta Barat,Taman Sari,KRUKUT,TIPE 4,-6.157511,106.813913, 
895,TPS RW 3 GREENVILE,Jakarta Barat,Kebon Jeruk,KEDOYA UTARA,TIPE 1,-6.171769,106.776322, 
975,06 & 07,Jakarta Barat,Taman Sari,TAMAN SARI,TIPE 4,-6.157152,106.827181, 
6270,Lintas_SEMPER BARAT,Jakarta Utara,Cilincing,SEMPER BARAT,Lintas,-6.11460068174,106.924095105, 
251,Bak yayasan,Jakarta Utara,Cilincing,Tidak Diketahui,TIPE 4,-6.112667,106.924075, 
803,Tps 04,Jakarta Timur,Pulogadung,Tidak Diketahui,TIPE 4,-6.198961,106.902877, 
201,Tps rw 4,Jakarta Utara,Cilincing,ROROTAN,TIPE 2,-6.160768,106.950834, 
908,Tps Rw 07 Perumahan Kedoya Permai,Jakarta Barat,Kebon Jeruk,KEBON JERUK,TIPE 2,-6.19340333193,106.762692216, 
316,Gg Jati (Transit),Jakarta Selatan,Mampang Prapatan,MAMPANG PRAPATAN,TIPE 4,-6.240481,106.822648,Seminggu 7x
1313,TPS RW 004,Jakarta Selatan,Jagakarsa,LENTENG AGUNG,TIPE 4,-6.329147,106.839672,Operional Kegiatan Pelayanan Pengangkutan Sampah Warga dilakukan seminggu 5x
80,PASAR WARU,Jakarta Utara,Koja,LAGOA,TIPE 2,-6.108899,106.91499,Dibantu sama mobil satpel pagi hari yg buang di sekitar kontener
982,"TPS  Rw, 06 Maphar",Jakarta Barat,Taman Sari,MAPHAR,TIPE 4,-6.157024,106.821376, 
430,TPS RW 01 paseban,Jakarta Pusat,Senen,Tidak Diketahui,TIPE 3,-6.190014,106.85054,container
450,TPS rw01 Menteng tenggulun,Jakarta Pusat,Menteng,MANGGARAI,TIPE 3,-6.208197,106.845695,truk datang setiap hari
162,TPS Pasar Koja Baru,Jakarta Utara,Koja,TUGU UTARA,TIPE 2,-6.12202,106.915437, 
588,Bak Damri,Jakarta Timur,Cakung,RAWATERATE,TIPE 4,-6.185787,106.923373, 
300,Bangka 10,Jakarta Selatan,Mampang Prapatan,PELA MAMPANG,TIPE 4,-6.252736,106.811348,Seminggu 5x
93,TPS Solobone,Jakarta Utara,Tanjung Priok,Tidak Diketahui,TIPE 2,-6.120178,106.866432,Setiap Hari
796,Tps rw 01,Jakarta Timur,Pulogadung,Tidak Diketahui,TIPE 4,-6.182381,106.904367,Setiap hari
1000,Pool Gerobak Taman Velbak,Jakarta Barat,Tambora,JEMBATAN BESI,TIPE 4,-6.151943,106.795257, 
573,TPS Kebon Kacang 8,Jakarta Pusat,Tanah Abang,KEBON KACANG,TIPE 4,-6.189333,106.821269,Total berat rata-rata 6m3
